iter	Logloss
0	0.6240176198
1	0.5696828352
2	0.5270998467
3	0.4935124328
4	0.4670505536
5	0.4465716795
6	0.4306875489
7	0.4177372572
8	0.4076881602
9	0.3996064153
10	0.3931034052
11	0.3878770955
12	0.3835351248
13	0.380089276
14	0.3773726981
15	0.374986502
16	0.3730548435
17	0.3713377744
18	0.3700933838
19	0.3691157193
20	0.3681397744
21	0.3671906898
22	0.3663254511
23	0.3655773369
24	0.3649599735
25	0.3643751647
26	0.3637395538
27	0.3631184339
28	0.3624627201
29	0.3620507885
30	0.3616173856
31	0.3612588138
32	0.3607137408
33	0.3602546256
34	0.3597710964
35	0.3592743065
36	0.3588471258
37	0.3585022917
38	0.3580176145
39	0.3576674979
40	0.3573166596
41	0.3570575702
42	0.3567718966
43	0.356402336
44	0.3560496327
45	0.3557306707
46	0.3555212451
47	0.3552390495
48	0.3549115329
49	0.3545104569
50	0.3541483125
51	0.3538737754
52	0.3535750083
53	0.3532274591
54	0.3529853772
55	0.3527862282
56	0.3524625288
57	0.3520804245
58	0.3518695868
59	0.3515272377
60	0.3513328262
61	0.3510925293
62	0.3508299352
63	0.3505430918
64	0.3501607598
65	0.3498259844
66	0.3495446584
67	0.3493006049
68	0.3489825076
69	0.3485972401
70	0.3482203941
71	0.3479772368
72	0.3477005078
73	0.3474085369
74	0.3471196565
75	0.3467546154
76	0.3465169489
77	0.3461545817
78	0.3459269036
79	0.3456283206
80	0.3453894285
81	0.345182064
82	0.3447659738
83	0.3443577212
84	0.3440310645
85	0.3437022279
86	0.3433307514
87	0.3431003922
88	0.34280652
89	0.3424300833
90	0.3421694462
91	0.341902134
92	0.3415785799
93	0.3412858606
94	0.3410637992
95	0.3408800979
96	0.3404668051
97	0.3401499963
98	0.3399984039
99	0.3398127529
100	0.3395141069
101	0.339224512
102	0.3390122501
103	0.33880475
104	0.3384628102
105	0.3381685166
106	0.3378974624
107	0.3376473708
108	0.3374033707
109	0.3371879457
110	0.3369197761
111	0.3366663518
112	0.3364298333
113	0.3361188907
114	0.3358138505
115	0.335462414
116	0.3352055553
117	0.3350138807
118	0.3347532508
119	0.3343933275
120	0.3340676323
121	0.3339062282
122	0.3336327689
123	0.3332966808
124	0.3329959058
125	0.3326891727
126	0.3323393782
127	0.3320235479
128	0.3318086921
129	0.3316508557
130	0.3314665852
131	0.3311241441
132	0.3308569796
133	0.3306778221
134	0.3304866851
135	0.3302171132
136	0.3299333118
137	0.3297321211
138	0.3294746423
139	0.3292668321
140	0.3290797376
141	0.3288550459
142	0.3285633438
143	0.3283648173
144	0.3281711494
145	0.3279844254
146	0.3276646544
147	0.3274835956
148	0.3272530329
149	0.3269990491
150	0.3266888234
151	0.3264434596
152	0.3262025476
153	0.3258734349
154	0.3256727963
155	0.3253609866
156	0.3251877025
157	0.3249190679
158	0.3247127739
159	0.3244464862
160	0.3241532002
161	0.3239193508
162	0.3237591819
163	0.323640299
164	0.3235134621
165	0.323349016
166	0.3230743747
167	0.3227630131
168	0.3225372847
169	0.3222558352
170	0.3220317732
171	0.3218020485
172	0.3215998598
173	0.3213996354
174	0.3212025379
175	0.3209768677
176	0.32075306
177	0.3205406334
178	0.3203466821
179	0.3201470439
180	0.3200019958
181	0.3197413466
182	0.3195580449
183	0.3193080987
184	0.3191865854
185	0.3189302184
186	0.3187180631
187	0.3184872267
188	0.3182709346
189	0.3180461096
190	0.3177732752
191	0.3175124904
192	0.3173487927
193	0.3170543295
194	0.3168033006
195	0.3166700236
196	0.3164879354
197	0.3161527894
198	0.3159263078
199	0.3157288034
200	0.3155341182
201	0.315358722
202	0.3151850722
203	0.3150042531
204	0.3147980754
205	0.3145679874
206	0.3142913092
207	0.3141001165
208	0.3139246889
209	0.3137365093
210	0.3136247568
211	0.3134575108
212	0.3131857494
213	0.3129831393
214	0.312775191
215	0.3125572859
216	0.3123949299
217	0.3120920381
218	0.3118865071
219	0.3116784087
220	0.3114835418
221	0.3112597777
222	0.311129521
223	0.3109348358
224	0.3107396468
225	0.310573372
226	0.3103734722
227	0.3102074541
228	0.3100612556
229	0.3098979453
230	0.3096866668
231	0.3094065251
232	0.3092446633
233	0.3090932113
234	0.3089269414
235	0.308686722
236	0.308569273
237	0.308393855
238	0.3082138352
239	0.3080789572
240	0.3079603795
241	0.3077899533
242	0.3076294841
243	0.3074340602
244	0.3072060285
245	0.3070235043
246	0.3068679906
247	0.306651621
248	0.3064405023
249	0.3063268292
250	0.3061354913
251	0.3059303792
252	0.3057814922
253	0.3056032042
254	0.3054494295
255	0.3052165222
256	0.3050858367
257	0.3049104697
258	0.3047552248
259	0.3044752357
260	0.3042434305
261	0.3039654953
262	0.3038082522
263	0.3036443002
264	0.3035471623
265	0.3033447968
266	0.3030897861
267	0.3028764077
268	0.3027518209
269	0.3025468057
270	0.3023596119
271	0.3021764967
272	0.3019604516
273	0.3018093024
274	0.3016397991
275	0.3014127992
276	0.3013166422
277	0.3011746967
278	0.3010438513
279	0.3007975575
280	0.3006718929
281	0.3004761299
282	0.300348719
283	0.3001871139
284	0.3000268724
285	0.2998758467
286	0.2997413224
287	0.2995468164
288	0.2993056476
289	0.2991546655
290	0.2989981636
291	0.2988936627
292	0.298784916
293	0.2985564725
294	0.2984225125
295	0.2982751344
296	0.2981582956
297	0.2979472254
298	0.2977786836
299	0.2976575361
300	0.2975123814
301	0.2973152766
302	0.2971690126
303	0.2970931522
304	0.2968970235
305	0.2967414057
306	0.2966016618
307	0.296480042
308	0.2962583802
309	0.2960828266
310	0.2959741526
311	0.2958379352
312	0.2957139587
313	0.2955353292
314	0.295422264
315	0.2952740357
316	0.2951634483
317	0.2949693589
318	0.2948542761
319	0.2946940734
320	0.2945956905
321	0.2944801379
322	0.294341421
323	0.2942029729
324	0.2940896752
325	0.2939910646
326	0.2938694715
327	0.2937503948
328	0.2935643126
329	0.2934680442
330	0.2933678715
331	0.2932592507
332	0.2930833338
333	0.2929823231
334	0.2928324624
335	0.2926633369
336	0.2925064741
337	0.2923774792
338	0.2922386339
339	0.2920893375
340	0.2919258747
341	0.2917846873
342	0.2916277882
343	0.2914626615
