iter	Passed	Remaining
0	13	13738
1	30	15310
2	50	16639
3	69	17330
4	87	17348
5	104	17331
6	117	16695
7	135	16763
8	150	16540
9	164	16334
10	179	16118
11	193	15968
12	209	15886
13	224	15795
14	238	15679
15	253	15611
16	268	15527
17	283	15490
18	298	15436
19	312	15327
20	327	15287
21	344	15309
22	360	15302
23	374	15236
24	390	15218
25	404	15141
26	420	15141
27	448	15573
28	467	15644
29	491	15879
30	513	16042
31	538	16303
32	557	16329
33	572	16273
34	587	16204
35	601	16109
36	616	16036
37	630	15964
38	646	15928
39	661	15878
40	676	15815
41	690	15753
42	705	15705
43	720	15646
44	787	16707
45	812	16859
46	830	16837
47	846	16779
48	862	16741
49	878	16696
50	895	16668
51	912	16627
52	928	16583
53	944	16549
54	960	16508
55	976	16462
56	993	16431
57	1010	16405
58	1026	16378
59	1043	16344
60	1060	16327
61	1077	16309
62	1094	16277
63	1110	16243
64	1127	16224
65	1143	16188
66	1160	16160
67	1176	16128
68	1193	16097
69	1209	16074
70	1226	16054
71	1242	16016
72	1258	15978
73	1274	15944
74	1290	15913
75	1306	15881
76	1323	15867
77	1348	15945
78	1369	15968
79	1397	16065
80	1419	16109
81	1445	16184
82	1463	16169
83	1478	16121
84	1493	16080
85	1508	16029
86	1523	15984
87	1538	15943
88	1553	15897
89	1567	15853
90	1583	15813
91	1597	15770
92	1612	15730
93	1627	15687
94	1642	15645
95	1656	15599
96	1672	15568
97	1687	15530
98	1701	15486
99	1716	15449
100	1732	15417
101	1747	15380
102	1762	15349
103	1778	15322
104	1793	15286
105	1808	15249
106	1823	15215
107	1838	15183
108	1853	15151
109	1870	15130
110	1886	15109
111	1902	15082
112	1917	15054
113	1933	15027
114	1949	14999
115	1965	14980
116	1982	14959
117	1998	14934
118	2014	14913
119	2030	14892
120	2046	14868
121	2063	14851
122	2081	14840
123	2098	14823
124	2114	14802
125	2130	14781
126	2147	14761
127	2163	14739
128	2180	14723
129	2196	14698
130	2212	14678
131	2229	14659
132	2245	14637
133	2261	14617
134	2278	14600
135	2294	14578
136	2310	14556
137	2326	14532
138	2342	14511
139	2359	14492
140	2376	14477
141	2392	14454
142	2409	14440
143	2425	14418
144	2440	14391
145	2455	14363
146	2472	14344
147	2488	14323
148	2505	14309
149	2524	14308
150	2545	14313
151	2569	14334
152	2594	14361
153	2619	14390
154	2640	14396
155	2657	14375
156	2673	14356
157	2689	14331
158	2706	14314
159	2725	14307
160	2743	14294
161	2760	14279
162	2778	14265
163	2794	14246
164	2812	14232
165	2830	14218
166	2847	14204
167	2865	14189
168	2883	14178
169	2901	14164
170	2920	14160
171	2939	14149
172	2956	14133
173	2974	14120
174	2990	14098
175	3007	14078
176	3022	14056
177	3039	14037
178	3056	14019
179	3072	13999
180	3089	13978
181	3105	13958
182	3122	13940
183	3139	13922
184	3155	13900
185	3172	13883
186	3188	13861
187	3204	13841
188	3220	13818
189	3236	13797
190	3253	13779
191	3269	13759
192	3284	13734
193	3299	13708
194	3314	13684
195	3331	13664
196	3348	13647
197	3365	13632
198	3388	13639
199	3405	13620
200	3421	13602
201	3438	13582
202	3455	13565
203	3472	13548
204	3487	13525
205	3503	13503
206	3519	13482
207	3534	13456
208	3549	13433
209	3565	13414
210	3582	13395
211	3597	13372
212	3613	13352
213	3629	13330
214	3646	13314
215	3662	13294
216	3681	13285
217	3707	13300
218	3728	13296
219	3754	13311
220	3790	13359
221	3807	13342
